Sum of TOTAL;Column Labels;;;;;;;
Row Labels;1;2;3;4;5;6;7;Grand Total
0;2963;2531;2439;3789;5448;7831;4564;29565
1;1730;1530;1344;2277;2987;4750;2776;17394
2;1074;962;887;1539;1877;3323;1959;11621
3;972;897;883;1231;1795;3241;1646;10665
4;1613;1287;1349;1685;3085;5163;1804;15986
5;4237;3304;3304;4305;7051;9554;2997;34752
6;10157;7882;8031;10129;14665;15184;5385;71433
7;19150;16199;15942;19673;24250;21336;8863;125413
8;18971;16290;16095;20605;25396;25148;11550;134055
9;17785;14904;14556;19843;25981;29165;15002;137236
10;16842;14476;13955;19849;27195;29141;15851;137309
11;16071;13738;13018;19001;26098;26211;15637;129774
12;14673;12757;12038;17267;23486;21842;11839;113902
13;14591;12965;12520;18041;24758;20308;9717;112900
14;16999;15193;14656;22928;31101;22254;10893;134024
15;17538;16333;15392;24830;32917;21848;12607;141465
16;18667;17966;17346;27474;35258;19373;13010;149094
17;23731;23216;21902;32451;40924;18297;12163;172684
18;28310;26738;25532;35156;41296;17687;13171;187890
19;19145;18579;17360;28291;38934;16112;13204;151625
20;11069;10408;9825;19469;31796;13608;11212;107387
21;7958;7414;7413;14361;21547;10343;8339;77375
22;7443;7000;6794;12349;16298;7064;6264;63212
23;4918;5033;4457;8936;12312;6494;4239;46389
Grand Total;296607;267602;257038;385479;516455;375277;214692;2313150
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Average of FLUXO;Column Labels;;;;;;;
Row Labels;1;2;3;4;5;6;7;Grand Total
0;3,583333333;3;3,363636364;4,666666667;6,538461538;9,538461538;5,916666667;5,317647059
1;1,692307692;1,5;1,454545455;2,75;3,384615385;5,538461538;3,727272727;2,894117647
2;0,846153846;1;1;1,666666667;1,923076923;3,846153846;2,545454545;1,847058824
3;0,769230769;0,75;1;1,25;1,846153846;3,615384615;1,833333333;1,604651163
4;1,461538462;1,166666667;1,454545455;1,75;3,384615385;6,230769231;2,363636364;2,6
5;5;4,083333333;4,363636364;5,5;8,615384615;11,76923077;3,75;6,255813953
6;12,53846154;10,25;11,81818182;13,5;18,30769231;19;7;13,3372093
7;24,07692308;22;23,63636364;26,91666667;30,69230769;26,76923077;13;24,11764706
8;23,76923077;22,16666667;23,81818182;28;32;31,76923077;17,18181818;25,77647059
9;22,38461538;20,16666667;21,45454545;26,91666667;32,76923077;36,92307692;20,16666667;26,04651163
10;21,15384615;19,66666667;20,54545455;27,16666667;34,38461538;36,69230769;21,58333333;26,11627907
11;20,15384615;18,58333333;19,36363636;25,91666667;33;33,15384615;21,25;24,69767442
12;18,30769231;17,16666667;17,72727273;23,33333333;29,53846154;27,53846154;16,08333333;21,55813953
13;18,23076923;17,41666667;18,36363636;24,58333333;31,23076923;25,61538462;13,08333333;21,38372093
14;21,46153846;20,66666667;21,72727273;31,25;39,46153846;28,07692308;14,58333333;25,51162791
15;22;22,16666667;22,90909091;34,08333333;41,76923077;27,53846154;17,08333333;26,96511628
16;23,46153846;24,5;25,81818182;37,66666667;44,69230769;24,38461538;17,41666667;28,39534884
17;30,15384615;31,66666667;32,72727273;44,66666667;51,84615385;22,92307692;16,41666667;32,98837209
18;35,84615385;36,66666667;38,18181818;48,41666667;52,46153846;22,23076923;17,83333333;35,95348837
19;24,07692308;25,16666667;25,72727273;38,91666667;49,46153846;20,07692308;17,91666667;28,88372093
20;13,61538462;14,08333333;14,45454545;26,5;40,15384615;17;15;20,30232558
21;9,615384615;9,75;10,72727273;19,33333333;27,15384615;12,76923077;11,08333333;14,46511628
22;9;9,333333333;9,818181818;16,75;20,46153846;8,461538462;8,166666667;11,76744186
23;5,846153846;6,5;6,181818182;11,83333333;15,30769231;7,692307692;5,416666667;8,465116279
Grand Total;15,414791;14,97569444;15,73484848;21,80555556;27,09935897;19,54807692;12,17667845;18,2414966
